,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,node,filter,init,success,weird_name,notice,peer,source,version,cipher,curve,server_name,resumed,established,cert_chain_fuids,client_cert_chain_fuids,subject,issuer
0,1634117544.258876,CYNBsp2qdvOJzAHPR,192.168.56.105,35966,192.168.56.107,80,tcp,http,6.545604944229126,1668,275816,SF,0,ShADadfF,29,3184,29,277332,,,,,,,,,,,,,,,,,,
1,1634117546.946265,CP2pts2z0AOFdckXsi,192.168.56.105,35968,192.168.56.107,80,tcp,http,15.005357027053833,6236,86832,SF,0,ShADadfF,35,8064,29,88348,,,,,,,,,,,,,,,,,,
2,1634117557.73857,CEhV4c2XG2tTkvQ0rf,192.168.56.105,35970,192.168.56.107,80,tcp,http,14.04483699798584,6746,66629,SF,0,ShADadfF,30,8314,26,67989,,,,,,,,,,,,,,,,,,
3,1634117581.005669,CG1o304X8ZiuN3vSm8,192.168.56.105,35974,192.168.56.107,80,tcp,http,5.091486930847168,565,602,SF,0,ShADadfF,5,833,5,870,,,,,,,,,,,,,,,,,,
4,1634117605.614227,CcFNAA4ByPckcBvmPh,192.168.56.105,35978,192.168.56.107,80,tcp,http,5.130681037902832,1733,4279,SF,0,ShADadfF,9,2209,9,4755,,,,,,,,,,,,,,,,,,
5,1634117605.707593,C6euZu2cSIUIjCHwyh,192.168.56.105,35980,192.168.56.107,80,tcp,http,5.04054594039917,572,3681,SF,0,ShADadfF,5,840,5,3949,,,,,,,,,,,,,,,,,,
6,1634117566.770853,CuQDQ9jzn8DRCHfbe,192.168.56.105,35972,192.168.56.107,80,tcp,http,43.98263597488403,32638,130025,SF,0,ShADadfF,110,38366,68,133569,,,,,,,,,,,,,,,,,,
7,1634117605.814711,CwrcKs1rZY92vHcm9,192.168.56.105,35988,192.168.56.107,80,tcp,http,5.019857883453369,570,3955,SF,0,ShADadfF,5,838,5,4223,,,,,,,,,,,,,,,,,,
8,1634117605.715434,CoglxR3fMqu3MeV0Wa,192.168.56.105,35982,192.168.56.107,80,tcp,http,5.324414014816284,1049,4551,SF,0,ShADadfF,7,1421,7,4923,,,,,,,,,,,,,,,,,,
9,1634117605.737953,CxGvR32aDMAdHOWCL3,192.168.56.105,35986,192.168.56.107,80,tcp,http,5.341797113418579,1136,3442,SF,0,ShADadfF,7,1508,7,3814,,,,,,,,,,,,,,,,,,
10,1634117651.28915,CsJdCx33bnpBKwoZRl,192.168.56.105,35990,192.168.56.107,80,tcp,http,5.045696973800659,628,46562,SF,0,ShADadfF,12,1260,12,47194,,,,,,,,,,,,,,,,,,
11,1634117605.736536,ChrNbN3rcKtSrV6s8f,192.168.56.105,35984,192.168.56.107,80,tcp,http,61.06874489784241,40221,46363,SF,0,ShADadfF,122,46573,67,49855,,,,,,,,,,,,,,,,,,
12,1634117662.838782,CRv18w4KGlh5YT47gh,192.168.56.105,35992,192.168.56.107,80,tcp,http,98.98342895507812,67309,47801,SF,0,ShADadFf,204,77925,106,53321,,,,,,,,,,,,,,,,,,
