,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
14,1556888621.274551,CwchED118s3io5Mdxf,10.0.3.15,56310,121.17.123.141,443,tcp,0.30229616165161133,1691,38407,SF,0,ShADadFf,31,2951,50,40411,ssl,10.0.3.15,121.17.123.141,443,56310
18,1556888621.414341,CGe2ybfiqfvO9DSpa,10.0.3.15,55585,121.17.123.141,443,tcp,1.236928939819336,1707,190387,SF,0,ShADadFf,108,6047,181,197631,ssl,10.0.3.15,121.17.123.141,443,55585
22,1556888621.421901,C1sKWF2RW9Gx8pynTi,10.0.3.15,32996,121.17.123.141,443,tcp,1.78963303565979,1707,222573,SF,0,ShADadFf,115,6327,180,229777,ssl,10.0.3.15,121.17.123.141,443,32996
21,1556888621.666134,CRqAtdFXME6mRg2w1,10.0.3.15,49360,121.17.123.141,443,tcp,1.4832289218902588,1286,282888,SF,0,ShADadFf,128,6426,227,291972,ssl,10.0.3.15,121.17.123.141,443,49360
20,1556888621.669276,C2La0m15xM4BFgScTd,10.0.3.15,60698,121.17.123.141,443,tcp,1.4343130588531494,1270,211615,SF,0,ShADadFf,96,5130,181,218859,ssl,10.0.3.15,121.17.123.141,443,60698
36,1556888623.373852,Cr2me7O0WC4k62wTb,10.0.3.15,41595,121.17.123.141,443,tcp,27.791383028030396,1201,28395,SF,0,ShADadFf,24,2181,35,29799,ssl,10.0.3.15,121.17.123.141,443,41595
53,1556888623.638665,CrcDZm2AyHhZQft8Y3,10.0.3.15,44310,121.17.123.141,443,tcp,39.73750114440918,913,13709,RSTR,0,ShADadfRr,17,1613,20,14513,ssl,10.0.3.15,121.17.123.141,443,44310
71,1556888684.870452,ClPRjx4RXoiBieDkNd,10.0.3.15,47826,121.17.123.141,443,tcp,0.4091989994049072,913,120313,SF,0,ShADadFf,58,3253,106,124557,ssl,10.0.3.15,121.17.123.141,443,47826
72,1556888684.873139,CiJLI831elrt28wSPc,10.0.3.15,58754,121.17.123.141,443,tcp,0.41678404808044434,1366,222779,SF,12961,ShADadgFf,102,5466,194,217582,ssl,10.0.3.15,121.17.123.141,443,58754
70,1556888684.88373,Coma2f2jxxuYDvoke6,10.0.3.15,45011,121.17.123.141,443,tcp,0.3434760570526123,913,86385,SF,0,ShADadFf,41,2573,72,89269,ssl,10.0.3.15,121.17.123.141,443,45011
69,1556888685.282624,CgILE543pD6GukDWv7,10.0.3.15,44609,121.17.123.141,443,tcp,0.13020706176757812,860,12152,S1,0,ShADad,10,1280,15,12756,ssl,10.0.3.15,121.17.123.141,443,44609
