,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,orig_h,resp_h,resp_p,orig_p
5,1634441701.644164,COcOlE4KqhW4pDEZR5,192.168.56.105,60496,192.168.56.107,443,tcp,ssl,8.952554941177368,6551,401669,RSTO,0,ShADadfR,79,10667,94,406565,192.168.56.105,192.168.56.107,443,60496
3,1634441702.896614,CrnAmC3285QO8laWa6,192.168.56.105,60510,192.168.56.107,443,tcp,ssl,5.264943838119507,5409,35050,RSTO,0,ShADadfR,23,6613,21,36150,192.168.56.105,192.168.56.107,443,60510
4,1634441702.915184,CCmiSENl8yNmdECCi,192.168.56.105,60512,192.168.56.107,443,tcp,ssl,5.25623893737793,4786,26963,RSTO,0,ShADadfR,23,5990,22,28115,192.168.56.105,192.168.56.107,443,60512
1,1634441702.952513,CMvoM61k4wb45B8Cm8,192.168.56.105,60514,192.168.56.107,443,tcp,ssl,5.141685962677002,2221,16384,RSTO,0,ShADadfR,17,3113,16,17224,192.168.56.105,192.168.56.107,443,60514
0,1634441702.966195,CvAVbdsHWBOlWIio,192.168.56.105,60516,192.168.56.107,443,tcp,ssl,5.027416944503784,943,1748,RSTO,0,ShDadAfR,9,1419,10,2276,192.168.56.105,192.168.56.107,443,60516
2,1634441703.014023,CrG8n94XYPW99XLCy3,192.168.56.105,60518,192.168.56.107,443,tcp,ssl,5.090070009231567,1580,4344,RSTO,0,ShADadfR,11,2160,11,4924,192.168.56.105,192.168.56.107,443,60518
6,1634441717.537453,CHxNSU31DPtdfY8dra,192.168.56.105,60604,192.168.56.107,443,tcp,ssl,5.275406122207642,1049,55353,RSTO,0,ShADadfR,21,2149,22,56505,192.168.56.105,192.168.56.107,443,60604
7,1634441718.137642,CGNKhQ35I90qgBSg5,192.168.56.105,60606,192.168.56.107,443,tcp,ssl,5.013473987579346,970,1658,RSTO,0,ShADadfR,9,1446,9,2134,192.168.56.105,192.168.56.107,443,60606
8,1634441718.17588,ChGaP01LolajtHToye,192.168.56.105,60608,192.168.56.107,443,tcp,ssl,6.883357048034668,1754,6988,RSTO,0,ShADadfR,11,2334,11,7568,192.168.56.105,192.168.56.107,443,60608
9,1634441723.722194,CBX62eOAvDudFf6Bh,192.168.56.105,60610,192.168.56.107,443,tcp,ssl,5.052302122116089,950,52290,RSTO,0,ShADadfR,14,1686,16,53130,192.168.56.105,192.168.56.107,443,60610
10,1634441725.885099,CT9JuwXorHstKrV7l,192.168.56.105,60612,192.168.56.107,443,tcp,ssl,5.186239004135132,1023,55110,RSTO,0,ShADadfR,16,1863,17,56002,192.168.56.105,192.168.56.107,443,60612
12,1634441726.284,CzUceF2wbeR81EXWHl,192.168.56.105,60614,192.168.56.107,443,tcp,ssl,22.327588081359863,4575,116122,RSTO,0,ShADadfR,41,6715,40,118210,192.168.56.105,192.168.56.107,443,60614
11,1634441734.482364,C5kVhx3FgwwfeaYFTd,192.168.56.105,60616,192.168.56.107,443,tcp,ssl,6.018517017364502,1049,55353,RSTO,0,ShADadR,16,1889,16,56193,192.168.56.105,192.168.56.107,443,60616
13,1634441747.243607,Cx3hEH3CaYF7a0Kv2l,192.168.56.105,60706,192.168.56.107,443,tcp,ssl,5.248896837234497,950,51835,RSTO,0,ShADadfR,15,1726,16,52675,192.168.56.105,192.168.56.107,443,60706
14,1634441749.8441,C2H58M3WqrCysl2uo2,192.168.56.105,60710,192.168.56.107,443,tcp,ssl,5.118398904800415,974,54676,RSTO,0,ShADadfR,13,1658,16,55516,192.168.56.105,192.168.56.107,443,60710
15,1634441752.154268,CcDo5H2CaRKEVZJ4Ci,192.168.56.105,60712,192.168.56.107,443,tcp,ssl,8.739327907562256,1641,55991,RSTO,0,ShADadfR,25,2937,23,57195,192.168.56.105,192.168.56.107,443,60712
16,1634441757.910307,CbszFE4FO3PCOkBhda,192.168.56.105,60714,192.168.56.107,443,tcp,ssl,5.0702149868011475,1049,55357,RSTO,0,ShADadfR,17,1929,17,56249,192.168.56.105,192.168.56.107,443,60714
17,1634441760.054397,ClUH0j34JhjiTUurM7,192.168.56.105,60716,192.168.56.107,443,tcp,ssl,11.065722942352295,2510,56412,RSTO,0,ShADadfR,25,3818,26,57772,192.168.56.105,192.168.56.107,443,60716
18,1634441769.772812,CYA3mk4f7dx76pZ4W2,192.168.56.105,60720,192.168.56.107,443,tcp,ssl,7.046061992645264,1671,113046,RSTO,0,ShADadfR,26,3031,34,114822,192.168.56.105,192.168.56.107,443,60720
19,1634441774.407866,CLQd234eOd3f0o9La,192.168.56.105,60724,192.168.56.107,443,tcp,ssl,5.053813934326172,1069,1750,RSTO,0,ShADadR,9,1545,8,2174,192.168.56.105,192.168.56.107,443,60724
22,1634441778.293698,CB6m3l1PjY2O6spw7b,192.168.56.105,60738,192.168.56.107,443,tcp,ssl,9.48282790184021,1641,55912,RSTO,0,ShADadR,18,2585,18,56856,192.168.56.105,192.168.56.107,443,60738
20,1634441780.107966,CHInh7cvXCMxzqibd,192.168.56.105,60754,192.168.56.107,443,tcp,ssl,7.608380079269409,2443,58976,RSTO,0,ShADadfR,21,3543,21,60076,192.168.56.105,192.168.56.107,443,60754
23,1634441782.639896,CqAtgi1wEVjAUTSlBe,192.168.56.105,60810,192.168.56.107,443,tcp,ssl,5.14013409614563,2431,5916,RSTO,0,ShADadfR,12,3063,13,6600,192.168.56.105,192.168.56.107,443,60810
21,1634441782.705634,CHpT3p2qGT9fGdxW7d,192.168.56.105,60812,192.168.56.107,443,tcp,ssl,5.016575813293457,993,11075,RSTO,0,ShADadfR,9,1469,11,11655,192.168.56.105,192.168.56.107,443,60812
24,1634441786.114167,CirK1m2kKXziJtyFNk,192.168.56.105,60820,192.168.56.107,443,tcp,ssl,7.293132066726685,1721,55892,RSTO,0,ShADadfR,19,2705,19,56888,192.168.56.105,192.168.56.107,443,60820
25,1634441792.079879,CctsIWZVArep1Be0b,192.168.56.105,60822,192.168.56.107,443,tcp,ssl,5.072210073471069,950,55417,RSTR,0,ShDaAdfRr,15,1738,19,56401,192.168.56.105,192.168.56.107,443,60822
27,1634441794.033104,CuOcR04tJnkBleB0ti,192.168.56.105,60824,192.168.56.107,443,tcp,ssl,9.917543172836304,1791,59455,RSTO,0,ShADadfR,19,2787,20,60503,192.168.56.105,192.168.56.107,443,60824
26,1634441796.800636,CkXdVthCcBbPNo8yh,192.168.56.105,60826,192.168.56.107,443,tcp,ssl,5.065433979034424,1023,55417,RSTR,0,ShADadfRr,17,1903,18,56349,192.168.56.105,192.168.56.107,443,60826
28,1634441802.62038,C4BJHY2AEl2VSydwb4,192.168.56.105,60828,192.168.56.107,443,tcp,ssl,5.05022406578064,950,51832,RSTO,0,ShADadfR,14,1686,16,52672,192.168.56.105,192.168.56.107,443,60828
29,1634441804.647411,CxR30T1jMXDd85ePK8,192.168.56.105,60830,192.168.56.107,443,tcp,ssl,10.409122943878174,1617,57260,RSTO,0,ShADadfR,16,2457,18,58204,192.168.56.105,192.168.56.107,443,60830
30,1634441811.987126,CrWlGP3UVYq3gMGjjd,192.168.56.105,60836,192.168.56.107,443,tcp,ssl,5.220193862915039,974,54673,RSTO,0,ShADadfR,14,1710,16,55513,192.168.56.105,192.168.56.107,443,60836
31,1634441814.542114,C73hSq2P88DCcPssd4,192.168.56.105,60850,192.168.56.107,443,tcp,ssl,5.037024021148682,963,5147,RSTO,0,ShADadfR,8,1387,9,5623,192.168.56.105,192.168.56.107,443,60850
32,1634441817.649326,Cxtjm32hEFEESkQ664,192.168.56.105,60892,192.168.56.107,443,tcp,ssl,9.833427906036377,2293,155609,RSTO,0,ShADadfR,28,3757,32,157281,192.168.56.105,192.168.56.107,443,60892
33,1634441824.372612,Cq0ruB2NYfmgVmnD0e,192.168.56.105,60930,192.168.56.107,443,tcp,ssl,5.043903112411499,995,1749,RSTO,0,ShADadfR,9,1471,9,2225,192.168.56.105,192.168.56.107,443,60930
34,1634441828.039509,CdWCU22FuhOQS2kpa8,192.168.56.105,60932,192.168.56.107,443,tcp,ssl,5.054095983505249,950,51835,RSTO,0,ShADadfR,14,1686,16,52675,192.168.56.105,192.168.56.107,443,60932
35,1634441829.962808,CrRIku17lVyrdbYkJe,192.168.56.105,60934,192.168.56.107,443,tcp,ssl,5.121762037277222,977,54177,RSTO,0,ShADadfR,15,1765,16,55017,192.168.56.105,192.168.56.107,443,60934
36,1634441830.614542,CK5ABLNKAItfB1oQi,192.168.56.105,60936,192.168.56.107,443,tcp,ssl,6.746572017669678,2769,14761,RSTO,0,ShADadfR,16,3609,14,15497,192.168.56.105,192.168.56.107,443,60936
37,1634441836.021618,CBrNjm4hkwkZPbMmT,192.168.56.105,60938,192.168.56.107,443,tcp,ssl,5.279597997665405,950,55502,RSTR,0,ShADadfRr,15,1738,17,56382,192.168.56.105,192.168.56.107,443,60938
38,1634441838.716497,C3M8uf1aZZU1plU2E3,192.168.56.105,60940,192.168.56.107,443,tcp,ssl,5.309287071228027,1023,58897,RSTO,0,ShADadfR,18,1955,18,59841,192.168.56.105,192.168.56.107,443,60940
39,1634441841.561342,CEe9ov7lCwGqKHkb,192.168.56.105,60942,192.168.56.107,443,tcp,ssl,5.178785085678101,1050,56722,RSTO,0,ShADadfR,16,1878,17,57614,192.168.56.105,192.168.56.107,443,60942
40,1634441841.899993,C2IqK63t5DXEsuNWg,192.168.56.105,60944,192.168.56.107,443,tcp,ssl,13.701858043670654,3106,112647,RSTO,0,ShADadfR,33,4830,34,114423,192.168.56.105,192.168.56.107,443,60944
41,1634441850.769436,CW30P22fe4MXiTSsjh,192.168.56.105,60960,192.168.56.107,443,tcp,ssl,5.060075998306274,2315,12722,RSTO,0,ShADadfR,12,2947,13,13406,192.168.56.105,192.168.56.107,443,60960
42,1634441852.854329,CJVSoy1PqsVXPJPEf4,192.168.56.105,60980,192.168.56.107,443,tcp,ssl,5.120929956436157,1079,1804,RSTO,0,ShADadfR,9,1555,9,2280,192.168.56.105,192.168.56.107,443,60980
43,1634441856.654025,CwuT6EmGsAlZPe0ca,192.168.56.105,32804,192.168.56.107,443,tcp,ssl,7.185884952545166,1674,111239,RSTO,0,ShADadfR,33,3398,33,112963,192.168.56.105,192.168.56.107,443,32804
44,1634441860.896618,CnrAAx1nv2uxmw2Gd8,192.168.56.105,32808,192.168.56.107,443,tcp,ssl,5.041702032089233,1075,1753,RSTO,0,ShADadfR,9,1551,9,2229,192.168.56.105,192.168.56.107,443,32808
45,1634441864.61928,CERlW445MeulaSM8xi,192.168.56.105,32810,192.168.56.107,443,tcp,ssl,5.11851692199707,950,55495,RSTO,0,ShADadfR,17,1830,17,56387,192.168.56.105,192.168.56.107,443,32810
46,1634441866.660684,CR7hNHS3PiJxOpqP8,192.168.56.105,32812,192.168.56.107,443,tcp,ssl,7.246323823928833,1924,116497,RSTO,0,ShADadfR,21,3024,25,117805,192.168.56.105,192.168.56.107,443,32812
47,1634441877.326887,CIveaF3inkIiCrild,192.168.56.105,32814,192.168.56.107,443,tcp,ssl,5.08577299118042,950,55495,RSTO,0,ShADadfR,21,2050,23,56699,192.168.56.105,192.168.56.107,443,32814
48,1634441879.474226,CtZTfD3qs87I3OrtY6,192.168.56.105,32816,192.168.56.107,443,tcp,ssl,5.16238808631897,1023,58890,RSTO,0,ShADadfR,16,1863,17,59782,192.168.56.105,192.168.56.107,443,32816
