src_ip,src_port,dst_ip,dst_port,protocol,ip_version,bidirectional_first_seen_ms,bidirectional_last_seen_ms,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,application_name,application_category_name,ts,uid,service,conn_state,missed_bytes,history,version,cipher,curve,server_name,resumed,established,cert_chain_fuids,subject,issuer,server_certificate.version,server_certificate.serial,server_certificate.subject,server_certificate.issuer,server_certificate.not_valid_before,server_certificate.not_valid_after,server_certificate.key_alg,server_certificate.sig_alg,server_certificate.key_type,server_certificate.key_length,server_certificate.exponent,server_basic_constraints.ca,timestamp
192.168.56.105,55940,192.168.56.107,443,6,4,1634455827655,1634455838298,1634455827655,1634455838298,10643,1634455827655,1634455838297,10642,TLS,Web,1634455827.655687,Co68V24IasgT8AueEc,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FcBcUR1ADydWrU2kl2,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455827
192.168.56.105,55970,192.168.56.107,443,6,4,1634455833282,1634455838451,1634455833282,1634455838449,5167,1634455833282,1634455838451,5169,TLS,Web,1634455833.282284,CuN8yU1vAUiEZAXWWb,ssl,SF,0,ShADadfF,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FbxXJZ1JX7B9wKbLNa,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455833
192.168.56.105,55974,192.168.56.107,443,6,4,1634455838449,1634455843972,1634455838449,1634455843972,5523,1634455838452,1634455843971,5519,TLS,Web,1634455838.449431,C7NoxR1krjS8EAKMI6,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FcgY8Z2vrky7Kgyoe4,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455838
192.168.56.105,56064,192.168.56.107,443,6,4,1634455869125,1634455874156,1634455869125,1634455874156,5031,1634455869125,1634455874155,5030,TLS,Web,1634455869.125648,CHsej7lhwX4gESvi8,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FIS8BS3B6WfepPF8cl,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56070,192.168.56.107,443,6,4,1634455869133,1634455874164,1634455869133,1634455874164,5031,1634455869133,1634455874161,5028,TLS,Web,1634455869.133632,CfJyAb2ZgvMlUhZed4,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FjkqfS3KBVZ2Lnokxl,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56076,192.168.56.107,443,6,4,1634455869146,1634455874183,1634455869146,1634455874183,5037,1634455869146,1634455874183,5037,TLS,Web,1634455869.146588,CLvJP82AsWy2450Ws2,ssl,RSTR,0,ShADadfRr,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FDG4ct2VxyJUNEeNt6,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56196,192.168.56.107,443,6,4,1634455930396,1634455930405,1634455930396,1634455930405,9,1634455930396,1634455930405,9,TLS,Web,1634455930.396505,Cm7mBe4cvjaiQgdfRk,ssl,SF,0,ShADadfF,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FQloZE3CdXVQ4e5Zxe,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455930
192.168.56.105,56208,192.168.56.107,443,6,4,1634455930944,1634455942086,1634455930944,1634455942086,11142,1634455930944,1634455942084,11140,TLS,Web,1634455930.944546,CjmkQo4DEYc215Uppg,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,F9yGnpXRealbO3I13,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455930
192.168.56.105,56214,192.168.56.107,443,6,4,1634455931408,1634455945332,1634455931408,1634455945332,13924,1634455931408,1634455945330,13922,TLS,Web,1634455931.408408,CwLAM21RWLAEZeDTJk,ssl,RSTO,0,ShADadTfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FTpGKs3YvWc1l1nVr5,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455931
192.168.56.105,56286,192.168.56.107,443,6,4,1634455946697,1634455952485,1634455946697,1634455952485,5788,1634455946697,1634455952481,5784,TLS,Web,1634455946.69707,CnodEB4OMtzDfWk111,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FZYmKV1LkvRjYfXD5a,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455946
