src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,ip_version,bidirectional_first_seen_ms,bidirectional_last_seen_ms,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,application_name,application_category_name,ts,uid,service,conn_state,missed_bytes,history,version,cipher,curve,server_name,resumed,established,cert_chain_fuids,subject,issuer,server_certificate.version,server_certificate.serial,server_certificate.subject,server_certificate.issuer,server_certificate.not_valid_before,server_certificate.not_valid_after,server_certificate.key_alg,server_certificate.sig_alg,server_certificate.key_type,server_certificate.key_length,server_certificate.exponent,server_basic_constraints.ca
192.168.56.105,192.168.56.107,60496,443,6,1634441701,8952555.0,46875.33335455632,19.324092395969643,8.824296527639316,10.499795868330326,79,94,11773,407881,716.0,66.0,149.0253164556962,207.98794845098416,8754.0,66.0,4339.159574468085,2493.4909490178343,8754,66,2425.7456647398844,2784.6643811526724,7754355.715660396,1580,1880,20,12,52049.63372093023,5004332.0,-18.0,418693.04877014784,8952555.0,5005662.0,0.0,114776.34615384616,616346.9029377612,8950950.0,5005764.0,2.0,96246.7741935484,567680.210605893,0,0,0,0,1,0,0,0,0,0,0,1.1898734177215189,2425.7456647398844,29200,501,2175336.0,44.0,231559.6875,541001.9008370857,5002900.0,5066.0,544324.9375,1269524.7869043592,0.0,0.0,125838.66666666669,25.666666666666668,0.0,907422.7641690164,149.0253164556962,4339.159574468085,0,79,94,11773,407881,4,1634441701644,1634441710596,1634441701644,1634441710596,8952,1634441701644,1634441710595,8951,TLS,Web,1634441701.644164,CJ4qAR2INDzLj76nF5,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FQRIyI1EvdxZoENl68,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True
192.168.56.105,192.168.56.107,60510,443,6,1634441702,5264944.0,8239.2139403572,8.357163912854533,4.368517499901234,3.9886464129533,23,21,6935,36444,713.0,66.0,301.5217391304348,297.6037443612647,8287.0,66.0,1735.428571428571,2343.437901306308,8287,66,985.8863636363636,1783.338521577247,3180296.2825413216,460,420,20,10,122440.55813953489,4962027.0,1.0,746881.7790491002,5264944.0,4963998.0,1.0,239315.63636363635,1031135.9715935334,5263095.0,5004206.0,113.0,263154.75,1087878.1218699948,0,0,0,0,1,0,0,0,0,0,0,0.9130434782608696,985.8863636363636,29200,501,43331.0,519.0,22794.75,14074.623607311849,4921876.0,10490.0,571483.0,1538140.434443487,0.0,0.0,0.0,0.0,0.0,0.0,301.5217391304348,1735.428571428571,0,23,21,6935,36444,4,1634441702896,1634441708161,1634441702896,1634441708161,5265,1634441702896,1634441708159,5263,TLS,Web,1634441702.896614,CSNyEJ1BjmKcIiOwti,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FO2ijCAisscDr2lX7,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True
192.168.56.105,192.168.56.107,60512,443,6,1634441702,5256239.0,6608.337254070829,8.561254539605219,4.375752320242668,4.185502219362552,23,22,6312,28423,716.0,66.0,274.4347826086956,289.3547283010425,4642.0,66.0,1291.9545454545455,1588.357970795132,4642,66,771.8888888888889,1238.9151207985194,1534910.67654321,460,440,20,9,119459.97727272728,4999095.0,1.0,744319.1457200542,5256239.0,5001202.0,1.0,238919.95454545456,1039444.1121685049,5254222.0,5004794.0,96.0,250201.04761904763,1063476.8467699967,0,0,0,0,1,0,0,0,0,0,0,0.9565217391304348,771.8888888888889,29200,501,102026.0,1810.0,31943.666666666668,33523.23027726031,4999093.0,11036.0,741019.5714285715,1738539.8947293065,0.0,0.0,0.0,0.0,0.0,0.0,274.4347826086956,1291.9545454545455,0,23,22,6312,28423,4,1634441702915,1634441708171,1634441702915,1634441708171,5256,1634441702915,1634441708169,5254,TLS,Web,1634441702.915184,CkIESd3YtdOKEfSG4k,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FE7mvOE7Dxmmj44pf,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True
192.168.56.105,192.168.56.107,60514,443,6,1634441702,5141686.0,4045.171175369325,6.418128217086769,3.3063084754689416,3.1118197416178277,17,16,3351,17448,711.0,66.0,197.11764705882356,241.04500003427265,2962.0,66.0,1090.5,1211.1250967592075,2962,66,630.2727272727273,969.7777400073556,940468.8650137744,340,320,20,5,160677.6875,4957825.0,0.0,861736.7230111322,5141686.0,4959057.0,0.0,321355.375,1197628.5787024016,5140055.0,5001625.0,4.0,342670.3333333333,1245351.708701263,0,0,0,0,1,0,0,0,0,0,0,0.9411764705882352,630.2727272727273,29200,501,80517.0,48.0,21734.6,29717.689544108234,4915861.0,10645.0,844400.3333333334,1820964.951661588,0.0,0.0,10202.0,4.0,0.0,11918224.29906542,197.11764705882356,1090.5,0,17,16,3351,17448,4,1634441702952,1634441708094,1634441702952,1634441708094,5142,1634441702952,1634441708092,5140,TLS,Web,1634441702.952513,CVnOHrHtKMbYGPJI9,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,Fm7eQ44ExBqdf8nZad,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True
192.168.56.105,192.168.56.107,60516,443,6,1634441702,5027417.0,787.8797402324096,3.77927671406609,1.7901837066628847,1.9890930074032052,9,10,1545,2416,707.0,66.0,171.66666666666666,200.77239739455112,1083.0,66.0,241.6,314.46596000203266,1083,66,208.47368421052636,268.998213341954,72360.03878116341,180,200,20,3,279300.94444444444,4952728.0,12.0,1133527.7477382268,5027417.0,4954145.0,315.0,628427.125,1635043.5745475898,5025789.0,5001661.0,139.0,558421.0,1570926.7141062522,0,0,0,0,1,0,0,0,0,0,0,1.1111111111111112,208.47368421052636,29200,503,12008.0,3742.0,7875.0,4133.0,4903795.0,8898.0,1653664.6666666667,2298245.4955671923,0.0,0.0,0.0,0.0,0.0,0.0,171.66666666666666,241.6,0,9,10,1545,2416,4,1634441702966,1634441707993,1634441702966,1634441707993,5027,1634441702966,1634441707992,5026,TLS,Web,1634441702.966195,CUm9Er2py7wsSRrYhe,ssl,RSTO,0,ShDadAfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,Fw7OK23B6kcfnWXx8k,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True
192.168.56.105,192.168.56.107,60518,443,6,1634441703,5090070.0,1452.2393601659703,4.322140952874912,2.161070476437456,2.161070476437456,11,11,2314,5078,710.0,66.0,210.3636363636364,241.17827157040068,2421.0,66.0,461.6363636363636,700.1676776740727,2421,66,336.0,538.5028910195039,289985.36363636365,220,220,20,4,242384.2857142857,4965215.0,26.0,1056173.4227924226,5090070.0,4966316.0,985.0,509007.0,1485914.289639076,5087588.0,5005595.0,214.0,508758.8,1499069.8180989304,0,0,0,0,1,0,0,0,0,0,0,1.0,336.0,29200,501,64663.0,1194.0,24069.0,28781.367942936045,4924835.0,6139.0,1258758.5,2116710.55703,0.0,0.0,0.0,0.0,0.0,0.0,210.3636363636364,461.6363636363636,0,11,11,2314,5078,4,1634441703014,1634441708104,1634441703014,1634441708104,5090,1634441703014,1634441708101,5087,TLS,Web,1634441703.014023,CVUDqg1anwFfJ2Mh24,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FIbL5w4Cy1Cev14khe,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True
192.168.56.105,192.168.56.107,60604,443,6,1634441717,5275406.0,11232.50039902142,8.1510314087674,3.980736269398033,4.170295139369368,21,22,2443,56813,813.0,66.0,116.33333333333331,162.89065375080636,10939.0,66.0,2582.409090909091,2753.840684292177,10939,66,1378.046511627907,2326.482192750572,5412519.393185508,420,440,20,3,125604.90476190476,4965546.0,0.0,756524.3428969156,5275406.0,4967604.0,0.0,263770.3,1080419.354293142,5273449.0,5006572.0,134.0,251116.61904761905,1064248.106808633,0,0,0,0,1,0,0,0,0,0,0,1.0476190476190477,1378.046511627907,29200,503,161751.0,32.0,49023.0,65732.92495013439,4924520.0,8658.0,1290393.5,2099471.014670422,0.0,0.0,54047.0,14.0,0.0,248601.68166179096,116.33333333333331,2582.409090909091,0,21,22,2443,56813,4,1634441717537,1634441722812,1634441717537,1634441722812,5275,1634441717537,1634441722810,5273,TLS,Web,1634441717.537453,CctXj131YI46ChhbVa,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FWepSeqixogoaIf5a,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True
192.168.56.105,192.168.56.107,60606,443,6,1634441718,5013474.0,764.3402558784587,3.590324792748501,1.7951623963742505,1.7951623963742505,9,9,1572,2260,734.0,66.0,174.66666666666666,208.79069796223092,1083.0,66.0,251.11111111111111,319.26771923138404,1083,66,212.88888888888889,272.44018484978983,74223.65432098765,180,180,20,3,294910.23529411765,4959383.0,1.0,1166162.6884446335,5013474.0,4960672.0,1.0,626684.25,1638158.615294071,5012485.0,5003376.0,342.0,626560.625,1654280.7895348312,0,0,0,0,1,0,0,0,0,0,0,1.0,212.88888888888889,29200,503,0.0,0.0,0.0,0.0,4915390.0,42256.0,2478823.0,2436567.0,0.0,0.0,0.0,0.0,0.0,0.0,174.66666666666666,251.11111111111111,0,9,9,1572,2260,4,1634441718137,1634441723151,1634441718137,1634441723151,5014,1634441718137,1634441723150,5013,TLS,Web,1634441718.137642,CZg7iu4Cc9GDhHuDJ5,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FPRGGG3VdELoV6evJj,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True
192.168.56.105,192.168.56.107,60608,443,6,1634441718,6883357.0,1483.2878782838084,3.196114918926913,1.5980574594634565,1.5980574594634565,11,11,2488,7722,852.0,66.0,226.1818181818182,274.9389413808151,5259.0,66.0,702.0,1472.7461053790266,5259,66,464.09090909090907,1085.765624679441,1178886.9917355373,220,220,20,4,327778.90476190473,4954359.0,1.0,1106049.957205753,6883357.0,4956358.0,1.0,688335.7,1524157.439119663,6881535.0,5004021.0,211.0,688153.5,1539757.7962302545,0,0,0,0,1,0,0,0,0,0,0,1.0,464.09090909090907,29200,501,1843209.0,1390.0,922299.5,920909.5,4904697.0,22921.0,1699044.5,1993925.943985947,0.0,0.0,0.0,0.0,0.0,0.0,226.1818181818182,702.0,0,11,11,2488,7722,4,1634441718175,1634441725059,1634441718175,1634441725059,6884,1634441718175,1634441725057,6882,TLS,Web,1634441718.17588,C0FG9hAaOlfKxheh4,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FlaQbk1q30BDzGdWUc,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True
192.168.56.105,192.168.56.107,60610,443,6,1634441723,5052302.0,10932.838139921168,5.937887323441869,2.771014084272872,3.1668732391689964,14,16,1882,53354,714.0,66.0,134.42857142857142,170.4497053116148,13098.0,66.0,3334.625,4035.5560161364383,13098,66,1841.2,3353.834595404689,11248206.493333336,280,320,20,3,174217.3103448276,5003254.0,1.0,912611.7131142452,5052302.0,5005182.0,1.0,388638.6153846154,1332695.8975871508,5050719.0,5004515.0,81.0,336714.6,1247534.8776323544,0,0,0,0,1,0,0,0,0,0,0,1.1428571428571428,1841.2,29200,503,21063.0,154.0,9856.0,8602.144655065193,5001993.0,8774.0,1677504.6666666667,2350774.2105576387,0.0,0.0,50984.0,8.0,0.0,3269672.28884756,134.42857142857142,3334.625,0,14,16,1882,53354,4,1634441723722,1634441728774,1634441723722,1634441728774,5052,1634441723722,1634441728772,5050,TLS,Web,1634441723.722194,CgE7Aj4pw9zzyTdPS4,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FNJzYG39pAaUH2VDcl,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True
